JOB_ID,DESIGNATION,COMBINED_LOCATIONS,CITY,STATE,COUNTRY,Company_ID,Detailed_id
3785210,Associate- Gurgaon- Technology Consulting,"Delhi, Delhi, India",Delhi, Delhi, India,11107211,578210
3785211,Data Analysis Internship in Multiple locations at GreenPoint Global Technologies,"Navi Mumbai, Maharashtra, India",Navi Mumbai, Maharashtra, India,11107212,578211
3785212,Product Supply Manager,"Andhra Pradesh, India",Andhra Pradesh, India,,11107213,578212
3785213,Assistant Manager,India,India,,,11107214,578213
3785214,Business Analyst,"Pune, Maharashtra, India",Pune, Maharashtra, India,11107215,578214
3785215,Sales Executive,"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107216,578215
3785216,"Sales Operations Analyst, Trilogy (Remote) - $30,000/year USD","Vishakhapatnam, Andhra Pradesh, India",Vishakhapatnam, Andhra Pradesh, India,11107217,578216
3785217,Data Scientist,"Kurla, Maharashtra, India",Kurla, Maharashtra, India,11107218,578217
3785218,Business Development (Sales) part time job/internship at Multiple locations in Decathlon Sports India,"Mira Bhayandar, Maharashtra, India",Mira Bhayandar, Maharashtra, India,11107219,578218
3785219,Entrepreneur In Residence - Technology Lead,"Indore, Madhya Pradesh, India",Indore, Madhya Pradesh, India,11107220,578219
3785220,Sales Specialist,"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107221,578220
3785221,Business Student,"Lucknow, Uttar Pradesh, India",Lucknow, Uttar Pradesh, India,11107222,578221
3785222,Business Development Executive,"Pune, Maharashtra, India",Pune, Maharashtra, India,11107223,578222
3785223,Associate - Gurgaon- Technology Consulting,"Gurugram, Haryana, India",Gurugram, Haryana, India,11107224,578223
3785224,Sales Consultant,"Surat, Gujarat, India",Surat, Gujarat, India,11107225,578224
3785225,Charting Analyst,"Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107226,578225
3785226,Analyst,Greater Kolkata Area,Greater Kolkata Area,,,11107227,578226
3785227,Fresher for Bank,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107228,578227
3785228,Product control - Associate,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107229,578228
3785229,Lead Project Control Analyst,"Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107230,578229
3785230,Information Systems Coordinator,"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107231,578230
3785231,Analytics Architect,"Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107232,578231
3785232,Analyst,"Delhi, India",Delhi, India,,11107233,578232
3785233,Information Technology Procurement,"Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107234,578233
3785234,Business Development Executive & Research Analyst,"Dehradun, Uttarakhand, India",Dehradun, Uttarakhand, India,11107235,578234
3785235,Business Operations Associate,"Chennai, Tamil Nadu, India",Chennai, Tamil Nadu, India,11107236,578235
3785236,SAP MM Consultant,"Pune, Maharashtra, India",Pune, Maharashtra, India,11107237,578236
3785237,Project Coordinator- Govt Projects/NGO/Skill Development Domain,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107238,578237
3785238,Freshers,"Mumbai, Maharashtra, India",Mumbai, Maharashtra, India,11107239,578238
3785239,Project Manager,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107240,578239
3785240,Accounting analyst,"Chennai, Tamil Nadu, India",Chennai, Tamil Nadu, India,11107241,578240
3785241,R&D Process Engineer,"Chennai, Tamil Nadu, India",Chennai, Tamil Nadu, India,11107242,578241
3785242,Search Engine Evaluator,"Surat, Gujarat, India",Surat, Gujarat, India,11107243,578242
3785243,Business Operations Associate,"Chennai, Tamil Nadu, India",Chennai, Tamil Nadu, India,11107244,578243
3785244,Process Engineer -Technical Services,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107245,578244
3785245,Associate,Greater Kolkata Area,Greater Kolkata Area,,,11107246,578245
3785246,Analyst Consultant,"Delhi, Delhi, India",Delhi, Delhi, India,11107247,578246
3785247,Trainee Business Development Executive,"Bhubaneshwar, Odisha, India",Bhubaneshwar, Odisha, India,11107248,578247
3785248,Associate Marketing Operations Specialist,"Mumbai, Maharashtra, India",Mumbai, Maharashtra, India,11107249,578248
3785249,Lead Generation Specialist,"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107250,578249
3785250,Social Media Marketing Specialist,"Gurugram, Haryana, India",Gurugram, Haryana, India,11107251,578250
3785251,Marketing Subscriptions - Retention,"Delhi, India",Delhi, India,,11107252,578251
3785252,Digital Marketing Specialist,"Noida, Uttar Pradesh, India",Noida, Uttar Pradesh, India,11107253,578252
3785253,Lead Generation Specialist,"Kolkata, West Bengal, India",Kolkata, West Bengal, India,11107254,578253
3785254,LinkedIn Marketing,"Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107255,578254
3785255,Marketing Executive,"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107256,578255
3785256,Trade Marketing Specialist,"Goa, India",Goa, India,,11107257,578256
3785257,"Account Mgmt, Associate - AE, International Seller Growth","Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107258,578257
3785258,Performance Marketing,"Mumbai, Maharashtra, India",Mumbai, Maharashtra, India,11107259,578258
3785259,Customer Marketing Specialist,"Shillong, Meghalaya, India",Shillong, Meghalaya, India,11107260,578259
3785260,Retention Specialist,"Gurugram, Haryana, India",Gurugram, Haryana, India,11107261,578260
3785261,Digital Marketing Executive,"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107262,578261
3785262,PPC Lead / Solution Specialist,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107263,578262
3785263,Specialist- Marketing Project Owner (MPO),"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107264,578263
3785264,Search Engine Marketing Specialist - Google Adwords,"Mumbai, Maharashtra, India",Mumbai, Maharashtra, India,11107265,578264
3785265,Senior Digital Marketing role with LNT Infotech,"Maharashtra, India",Maharashtra, India,,11107266,578265
3785266,Associate Marketing Operations Specialist,"Mumbai, Maharashtra, India",Mumbai, Maharashtra, India,11107267,578266
3785267,Digital Marketing Assistant,"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107268,578267
3785268,Paid Media Executive,"Mumbai, Maharashtra, India",Mumbai, Maharashtra, India,11107269,578268
3785269,Demand Generation Specialist,India,India,,,11107270,578269
3785270,Associate Marketing Operations Specialist,"Mumbai, Maharashtra, India",Mumbai, Maharashtra, India,11107271,578270
3785271,Lead Generation Specialist,"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107272,578271
3785272,Social Media Marketing Specialist,"Gurugram, Haryana, India",Gurugram, Haryana, India,11107273,578272
3785273,Marketing Subscriptions - Retention,"Delhi, India",Delhi, India,,11107274,578273
3785274,Digital Marketing Specialist,"Noida, Uttar Pradesh, India",Noida, Uttar Pradesh, India,11107275,578274
3785275,Lead Generation Specialist,"Kolkata, West Bengal, India",Kolkata, West Bengal, India,11107276,578275
3785276,LinkedIn Marketing,"Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107277,578276
3785277,Marketing Executive,"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107278,578277
3785278,Trade Marketing Specialist,"Goa, India",Goa, India,,11107279,578278
3785279,"Account Mgmt, Associate - AE, International Seller Growth","Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107280,578279
3785280,Performance Marketing,"Mumbai, Maharashtra, India",Mumbai, Maharashtra, India,11107281,578280
3785281,Customer Marketing Specialist,"Shillong, Meghalaya, India",Shillong, Meghalaya, India,11107282,578281
3785282,Retention Specialist,"Gurugram, Haryana, India",Gurugram, Haryana, India,11107283,578282
3785283,Digital Marketing Executive,"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107284,578283
3785284,PPC Lead / Solution Specialist,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107285,578284
3785285,Specialist- Marketing Project Owner (MPO),"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107286,578285
3785286,Search Engine Marketing Specialist - Google Adwords,"Mumbai, Maharashtra, India",Mumbai, Maharashtra, India,11107287,578286
3785287,Senior Digital Marketing role with LNT Infotech,"Maharashtra, India",Maharashtra, India,,11107288,578287
3785288,Associate Marketing Operations Specialist,"Mumbai, Maharashtra, India",Mumbai, Maharashtra, India,11107289,578288
3785289,Digital Marketing Assistant,"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107290,578289
3785290,Paid Media Executive,"Mumbai, Maharashtra, India",Mumbai, Maharashtra, India,11107291,578290
3785291,Demand Generation Specialist,India,India,,,11107292,578291
3785292,Marketing Automation Specialist (US Shift),"Chandigarh, Chandigarh, India",Chandigarh, Chandigarh, India,11107293,578292
3785293,Digital Marketing Speacialists,"Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107294,578293
3785294,AGM - Prepaid Marketing,"Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107295,578294
3785295,Lead Generation,"Bengaluru, Karnataka, India",Bengaluru, Karnataka, India,11107296,578295
3785296,Marketing Executive,"Bhubaneswar, Odisha, India",Bhubaneswar, Odisha, India,11107297,578296
3785297,Marketing Ops Specialist II,"Hyderabad, Telangana, India",Hyderabad, Telangana, India,11107298,578297
3785298,Performance Marketing Lead,"Ahmedabad, Gujarat, India",Ahmedabad, Gujarat, India,11107299,578298
3785299,Marketing Operations Specialist (Campaign Ops),"Mumbai, Maharashtra, India",Mumbai, Maharashtra, India,11107300,578299
